,city,lat,lon,max temp,humidity,cloudiness,wind speed,date
0,George Town,5.41,100.34,84.2,88,20,3.36,1591750597
1,Cape Town,-33.93,18.42,59.0,87,75,23.04,1591750597
2,Hithadhoo,-0.6,73.08,83.53,72,100,8.08,1591750597
3,Hobart,-42.88,147.33,52.0,53,75,9.17,1591750500
4,Chui,-33.7,-53.46,52.03,94,0,2.37,1591750597
5,Vardø,70.37,31.11,42.55,68,51,8.86,1591750597
6,Saint Paul Harbor,57.79,-152.41,48.2,87,90,6.93,1591750597
7,Puerto Ayora,-0.74,-90.35,73.99,85,79,5.99,1591750597
8,Necochea,-38.55,-58.74,46.0,70,3,8.99,1591750409
9,Port Alfred,-33.59,26.89,73.0,36,0,3.0,1591750598
10,Kampong Thom,12.71,104.89,82.36,79,100,5.37,1591750598
11,Mataura,-46.19,168.86,55.0,80,31,8.01,1591750598
12,Punta Arenas,-53.15,-70.92,35.6,80,42,2.24,1591750598
13,Bluff,-46.6,168.33,55.0,80,47,8.01,1591750598
14,Vaini,-21.2,-175.2,77.0,88,75,8.05,1591750599
15,Tulagi,-9.1,160.15,89.6,62,20,5.82,1591750599
16,Khandyga,62.67,135.6,63.09,53,74,3.11,1591750599
17,San Patricio,19.22,-104.7,78.8,83,20,11.41,1591750599
18,Rikitea,-23.12,-134.97,76.26,81,1,11.14,1591750599
19,Province of Groningen,53.25,6.75,51.01,93,91,3.36,1591750599
20,Busselton,-33.65,115.33,53.01,62,97,9.31,1591750599
21,Svelgen,61.77,5.3,52.0,81,0,1.12,1591750599
22,Vityazevo,44.99,37.27,68.0,88,2,2.24,1591750599
23,Fortuna,40.6,-124.16,71.01,59,1,14.99,1591750600
24,Limbang,4.75,115.0,80.6,88,75,4.7,1591750600
25,Sinnamary,5.38,-52.95,77.9,84,12,4.7,1591750600
26,Araci,-11.33,-38.97,68.61,96,9,4.32,1591750600
27,Berdigestyakh,62.1,126.7,56.3,83,100,6.6,1591750600
28,Furmanov,57.25,41.11,60.8,87,0,4.47,1591750600
29,Anadyr,64.75,177.48,62.6,45,87,13.42,1591750601
30,Kavieng,-2.57,150.8,85.48,72,89,6.89,1591750601
31,Ribeira Grande,38.52,-28.7,64.17,81,98,9.19,1591750601
32,Cabo San Lucas,22.89,-109.91,80.6,51,5,14.99,1591750601
33,Roald,62.58,6.13,48.99,100,0,4.7,1591750601
34,Laguna,38.42,-121.42,93.0,15,1,3.36,1591750601
35,Atuona,-9.8,-139.03,81.01,77,85,21.14,1591750601
36,Sucre,-19.03,-65.26,59.83,45,49,4.9,1591750601
37,Ushuaia,-54.8,-68.3,35.6,80,40,5.82,1591750327
38,Butaritari,3.07,172.79,82.76,77,9,13.82,1591750602
39,Mandurah,-32.55,115.7,60.01,87,92,10.31,1591750602
40,Pevek,69.7,170.31,49.73,49,100,9.15,1591750602
41,Cap Malheureux,-19.98,57.61,66.99,81,0,5.99,1591750602
42,Sobolevo,54.43,31.9,64.11,92,100,5.91,1591750602
43,Tall Kayf,37.08,41.07,89.6,15,0,11.41,1591750602
44,Namatanai,-3.67,152.43,85.68,68,100,3.62,1591750602
45,Saint-François,46.42,3.91,54.0,76,94,5.82,1591750603
46,Belmonte,-15.86,-38.88,75.2,88,20,5.82,1591750603
47,Talcahuano,-36.72,-73.12,48.2,93,40,5.82,1591750603
48,Arraial do Cabo,-22.97,-42.03,71.6,94,20,4.7,1591750603
49,Nikolskoye,59.7,30.79,62.01,93,75,8.95,1591750603
50,Port Elizabeth,-33.92,25.57,66.2,45,10,4.7,1591750603
51,Rawson,-43.3,-65.1,55.42,45,74,29.84,1591750603
52,Santa Rosalía,27.32,-112.28,82.13,33,0,7.16,1591750603
53,Eyl,7.98,49.82,84.38,56,0,25.7,1591750603
54,Bredasdorp,-34.53,20.04,44.6,93,0,4.52,1591750604
55,Camacha,33.08,-16.33,64.4,72,40,10.29,1591750604
56,Bambous Virieux,-20.34,57.76,71.6,73,75,16.11,1591750604
57,Mar del Plata,-38.0,-57.56,48.99,80,0,6.93,1591750604
58,Sakakah,29.97,40.21,82.4,13,0,1.99,1591750604
59,Nabire,-3.37,135.48,82.67,75,100,1.43,1591750605
60,Mareeba,-17.0,145.43,77.0,69,40,11.41,1591750605
61,Mumford,5.26,-0.76,78.91,87,91,12.97,1591750605
62,Jos,9.92,8.9,65.91,97,100,2.55,1591750605
63,Udachny,66.42,112.4,35.6,74,75,8.95,1591750605
64,Upernavik,72.79,-56.15,32.94,93,45,3.94,1591750605
65,Yellowknife,62.46,-114.35,48.2,66,90,13.87,1591750386
66,Itarema,-2.92,-39.92,77.23,86,0,8.77,1591750606
67,Buala,-8.14,159.59,86.25,68,23,6.98,1591750606
68,Ust-Kuyga,70.02,135.6,37.62,78,100,14.23,1591750606
69,Esperance,-33.87,121.9,50.0,61,99,12.75,1591750606
70,Hermanus,-34.42,19.23,57.0,88,0,14.0,1591750606
71,Kapaa,22.08,-159.32,84.2,70,40,16.11,1591750307
72,Graz,47.07,15.45,59.0,93,75,1.12,1591750606
73,Lata,40.16,-8.33,60.01,83,43,1.23,1591750606
74,New Norfolk,-42.78,147.06,52.0,71,100,4.0,1591750607
75,Cervo,43.67,-7.41,54.0,90,85,7.38,1591750607
76,Barrow,71.29,-156.79,32.0,81,90,8.05,1591750607
77,Mahébourg,-20.41,57.7,71.6,73,75,16.11,1591750607
78,Port-Gentil,-0.72,8.78,76.1,86,98,15.77,1591750607
79,Hilo,19.73,-155.09,82.4,69,90,8.05,1591750423
80,Black Diamond,47.31,-122.0,63.0,95,100,2.39,1591750607
81,Ancud,-41.87,-73.82,50.0,93,75,2.24,1591750608
82,Gombong,-7.61,109.51,79.84,80,37,4.54,1591750608
83,Weligama,5.97,80.42,80.35,87,77,10.71,1591750608
84,Bathsheba,13.22,-59.52,80.6,78,40,11.41,1591750608
85,Hīt,33.64,42.83,87.4,13,0,9.78,1591750608
86,Mossamedes,-15.2,12.15,64.47,81,97,8.95,1591750608
87,Mount Isa,-20.73,139.5,77.0,41,0,13.87,1591750608
88,Ahipara,-35.17,173.17,60.8,65,32,11.25,1591750608
89,Bria,6.54,21.99,70.3,94,100,0.36,1591750609
90,Haines Junction,60.75,-137.51,67.32,24,0,1.74,1591750609
91,Ponta do Sol,32.67,-17.1,64.4,68,20,8.05,1591750609
92,Cherskiy,68.75,161.3,72.77,33,100,15.48,1591750609
93,Tocopilla,-22.09,-70.2,64.45,62,18,6.38,1591750609
94,Nishihara,26.18,127.76,82.4,78,75,9.17,1591750610
95,Arsen'yev,44.16,133.27,79.88,59,100,1.12,1591750610
96,Klaksvík,62.23,-6.59,48.2,93,100,19.46,1591750610
97,Moses Lake,47.13,-119.28,68.0,52,75,5.82,1591750334
98,Okhotsk,59.38,143.3,43.11,93,100,28.03,1591750610
99,Lagoa,39.05,-27.98,63.82,87,100,9.86,1591750610
100,Morgan City,29.7,-91.21,84.0,94,0,4.7,1591750610
101,Tuktoyaktuk,69.45,-133.04,48.2,70,90,8.05,1591750610
102,Sur,22.57,59.53,84.15,74,24,2.82,1591750611
103,Hasaki,35.73,140.83,84.2,51,20,9.17,1591750611
104,East London,-33.02,27.91,76.64,29,0,14.5,1591750611
105,Semey,50.41,80.23,57.2,67,8,6.71,1591750611
106,Turbat,26.0,63.04,78.58,89,0,1.5,1591750611
107,Presidencia Roque Sáenz Peña,-26.79,-60.44,64.99,87,100,1.99,1591750611
108,Petatlán,17.52,-101.27,82.4,69,90,6.93,1591750611
109,Katsuura,35.13,140.3,84.0,58,38,16.11,1591750611
110,Broome,42.25,-75.83,82.4,45,1,1.45,1591750612
111,Belle Fourche,44.67,-103.85,63.0,29,0,5.01,1591750401
112,Albany,42.6,-73.97,73.99,49,0,4.0,1591750612
113,Wattegama,6.8,81.48,80.6,100,20,11.41,1591750612
114,Sitka,57.05,-135.33,59.0,47,90,4.7,1591750612
115,West Plains,36.73,-91.85,86.0,66,20,12.75,1591750612
116,Tobias Barreto,-11.18,-38.0,69.01,92,0,3.58,1591750612
117,Usvyaty,55.75,30.75,63.18,95,100,4.18,1591750612
118,São Gabriel da Cachoeira,-0.13,-67.09,74.55,94,100,0.92,1591750612
119,Mabaruma,8.2,-59.78,75.18,97,100,3.8,1591750613
120,Luanda,-8.84,13.23,75.2,83,40,8.05,1591750368
121,Houma,29.6,-90.72,84.0,88,90,10.29,1591750613
122,Grindavik,63.84,-22.43,46.4,87,75,6.93,1591750613
123,Rybachiy,48.71,44.74,66.2,77,0,11.18,1591750613
