city,lat,lon,max temp,humidity,cloudiness,wind speed,date
George Town,5.41,100.34,84.2,88,20,3.36,1591750597
Cape Town,-33.93,18.42,59.0,87,75,23.04,1591750597
Hithadhoo,-0.6,73.08,83.53,72,100,8.08,1591750597
Hobart,-42.88,147.33,52.0,53,75,9.17,1591750500
Chui,-33.7,-53.46,52.03,94,0,2.37,1591750597
Vardø,70.37,31.11,42.55,68,51,8.86,1591750597
Saint Paul Harbor,57.79,-152.41,48.2,87,90,6.93,1591750597
Puerto Ayora,-0.74,-90.35,73.99,85,79,5.99,1591750597
Necochea,-38.55,-58.74,46.0,70,3,8.99,1591750409
Port Alfred,-33.59,26.89,73.0,36,0,3.0,1591750598
Kampong Thom,12.71,104.89,82.36,79,100,5.37,1591750598
Mataura,-46.19,168.86,55.0,80,31,8.01,1591750598
Punta Arenas,-53.15,-70.92,35.6,80,42,2.24,1591750598
Bluff,-46.6,168.33,55.0,80,47,8.01,1591750598
Vaini,-21.2,-175.2,77.0,88,75,8.05,1591750599
Tulagi,-9.1,160.15,89.6,62,20,5.82,1591750599
Khandyga,62.67,135.6,63.09,53,74,3.11,1591750599
San Patricio,19.22,-104.7,78.8,83,20,11.41,1591750599
Rikitea,-23.12,-134.97,76.26,81,1,11.14,1591750599
Province of Groningen,53.25,6.75,51.01,93,91,3.36,1591750599
Busselton,-33.65,115.33,53.01,62,97,9.31,1591750599
Svelgen,61.77,5.3,52.0,81,0,1.12,1591750599
Vityazevo,44.99,37.27,68.0,88,2,2.24,1591750599
Fortuna,40.6,-124.16,71.01,59,1,14.99,1591750600
Limbang,4.75,115.0,80.6,88,75,4.7,1591750600
Sinnamary,5.38,-52.95,77.9,84,12,4.7,1591750600
Araci,-11.33,-38.97,68.61,96,9,4.32,1591750600
Berdigestyakh,62.1,126.7,56.3,83,100,6.6,1591750600
Furmanov,57.25,41.11,60.8,87,0,4.47,1591750600
Anadyr,64.75,177.48,62.6,45,87,13.42,1591750601
Kavieng,-2.57,150.8,85.48,72,89,6.89,1591750601
Ribeira Grande,38.52,-28.7,64.17,81,98,9.19,1591750601
Cabo San Lucas,22.89,-109.91,80.6,51,5,14.99,1591750601
Roald,62.58,6.13,48.99,100,0,4.7,1591750601
Laguna,38.42,-121.42,93.0,15,1,3.36,1591750601
Atuona,-9.8,-139.03,81.01,77,85,21.14,1591750601
Sucre,-19.03,-65.26,59.83,45,49,4.9,1591750601
Ushuaia,-54.8,-68.3,35.6,80,40,5.82,1591750327
Butaritari,3.07,172.79,82.76,77,9,13.82,1591750602
Mandurah,-32.55,115.7,60.01,87,92,10.31,1591750602
Pevek,69.7,170.31,49.73,49,100,9.15,1591750602
Cap Malheureux,-19.98,57.61,66.99,81,0,5.99,1591750602
Sobolevo,54.43,31.9,64.11,92,100,5.91,1591750602
Tall Kayf,37.08,41.07,89.6,15,0,11.41,1591750602
Namatanai,-3.67,152.43,85.68,68,100,3.62,1591750602
Saint-François,46.42,3.91,54.0,76,94,5.82,1591750603
Belmonte,-15.86,-38.88,75.2,88,20,5.82,1591750603
Talcahuano,-36.72,-73.12,48.2,93,40,5.82,1591750603
Arraial do Cabo,-22.97,-42.03,71.6,94,20,4.7,1591750603
Nikolskoye,59.7,30.79,62.01,93,75,8.95,1591750603
Port Elizabeth,-33.92,25.57,66.2,45,10,4.7,1591750603
Rawson,-43.3,-65.1,55.42,45,74,29.84,1591750603
Santa Rosalía,27.32,-112.28,82.13,33,0,7.16,1591750603
Eyl,7.98,49.82,84.38,56,0,25.7,1591750603
Bredasdorp,-34.53,20.04,44.6,93,0,4.52,1591750604
Camacha,33.08,-16.33,64.4,72,40,10.29,1591750604
Bambous Virieux,-20.34,57.76,71.6,73,75,16.11,1591750604
Mar del Plata,-38.0,-57.56,48.99,80,0,6.93,1591750604
Sakakah,29.97,40.21,82.4,13,0,1.99,1591750604
Nabire,-3.37,135.48,82.67,75,100,1.43,1591750605
Mareeba,-17.0,145.43,77.0,69,40,11.41,1591750605
Mumford,5.26,-0.76,78.91,87,91,12.97,1591750605
Jos,9.92,8.9,65.91,97,100,2.55,1591750605
Udachny,66.42,112.4,35.6,74,75,8.95,1591750605
Upernavik,72.79,-56.15,32.94,93,45,3.94,1591750605
